
+-----+-------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+--------+------+------+---------+----------+------+---------+--------------------------------------+----------+
| id  | index | name                                                                                                                                                                 | description | sample | min  | max  | type    | required | mask | options | billerGuid                           | billerId |
+-----+-------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+--------+------+------+---------+----------+------+---------+--------------------------------------+----------+
|   3 |     1 | Visa Card Number                                                                                                                                                     | null        | null   |    0 |   30 | number  | 1        |    1 | null    | 01bf9c1d-225c-4bf0-91a7-7709a1424650 | 4        |
|   4 |     1 | Mastercard Number                                                                                                                                                    | null        | null   |    0 |   30 | number  | 1        |    1 | null    | 5870c6c0-6741-4c95-bc7e-6a24839bd1c4 | 5        |
|   5 |     1 | Ready Credit Number                                                                                                                                                  | null        | null   |    0 |   30 | number  | 1        |    0 | null    | 43be2f0e-70c4-4f2a-9d38-301b386d5be6 | 6        |
|   6 |     1 | Diner's Card Number                                                                                                                                                  | null        | null   |    0 |   30 | number  | 1        |    1 | null    | ef9be1a5-6632-48dd-90ba-894d57efb493 | 7        |
|   7 |     1 | Mastercard Number                                                                                                                                                    | null        | null   |    0 |   30 | number  | 1        |    0 | null    | 3cecc1a6-5231-4322-bdd6-bc3709b731d7 | 8        |
|   8 |     1 | VISA Card Number                                                                                                                                                     | null        | null   |    0 |   30 | number  | 1        |    1 | null    | e0c54226-cd88-4cf3-893b-e55c43f142e2 | 9        |
|   9 |     1 | Mastercard Number                                                                                                                                                    | null        | null   |    0 |   30 | number  | 1        |    1 | null    | 680c8411-1576-44fa-975c-4306710b4515 | 10       |
|  10 |     1 | JCB Card Number                                                                                                                                                      | null        | null   |    0 |   30 | number  | 1        |    1 | null    | b138b38a-556f-4eff-b517-05d611d95970 | 11       |
|  11 |     1 | Card Number                                                                                                                                                          | null        | null   |    0 |   30 | number  | 1        |    1 | null    | ae61c393-5729-4c73-8531-45bce8203a14 | 12       |
|  12 |     1 | Mastercard Number                                                                                                                                                    | null        | null   |    0 |   30 | number  | 1        |    0 | null    | 7d1eac74-d70a-4f04-8a45-806c9c9e14d3 | 13       |
|  13 |     1 | VISA Card Number                                                                                                                                                     | null        | null   |    0 |   30 | number  | 1        |    1 | null    | 4ebfbdd2-713b-4257-8212-5a7a6cbec04c | 14       |
|  14 |     1 | Personal Loan Account Number                                                                                                                                         | null        | null   |    0 |   30 | text    | 1        |    0 | null    | 9cdc9c08-4220-4ec1-b78a-25a3aca82b5b | 15       |
|  15 |     1 | CUSTOMER NAME                                                                                                                                                        | null        | null   |    0 |   30 | text    | 1        |    0 | null    | e1bcaca9-54c0-48a0-98ba-b1f423f58dc4 | 16       |
|  16 |     2 | REFERENCE NUMBER                                                                                                                                                     | null        | null   |    0 |   12 | text    | 1        |    0 | null    | e1bcaca9-54c0-48a0-98ba-b1f423f58dc4 | 16       |
|  17 |     3 | SOA NUMBER                                                                                                                                                           | null        | null   |    0 |   10 | text    | 1        |    0 | null    | e1bcaca9-54c0-48a0-98ba-b1f423f58dc4 | 16       |
|  18 |     1 | 7-Digit Room Number                                                                                                                                                  | null        | null   |    0 |   30 | text    | 1        |    0 | null    | 7e3d3a0d-22ee-4e77-8651-11eb152ed492 | 17       |
|  19 |     2 | 7-Digit Official Receipt Number                                                                                                                                      | null        | null   |    0 |   20 | text    | 1        |    0 | null    | 7e3d3a0d-22ee-4e77-8651-11eb152ed492 | 17       |
|  20 |     1 | 12-Digit Policy Number                                                                                                                                               | null        | null   |    0 |   30 | text    | 1        |    0 | null    | 4227452b-9c3c-40a8-bc32-5f3eab9b2815 | 18       |
|  21 |     1 | 9-Digit Contract Number                                                                                                                                              | null        | null   |    0 |   30 | text    | 1        |    0 | null    | 835cf963-9ee9-48cb-88d1-4512fc025cb2 | 19       |
|  22 |     2 | 3-Digit Installment Number                                                                                                                                           | null        | null   |    0 |   20 | text    | 1        |    0 | null    | 835cf963-9ee9-48cb-88d1-4512fc025cb2 | 19       |
|  23 |     1 | Policy Number                                                                                                                                                        | null        | null   |    0 |   30 | text    | 1        |    0 | null    | 58638406-1436-4a2d-af10-117f478218ef | 20       |
|  24 |     1 | 6-Digit Official Receipt Number                                                                                                                                      | null        | null   |    0 |   30 | text    | 1        |    0 | null    | 9e566e56-9a3f-44a4-9d89-76c74154346f | 21       |
|  25 |     2 | Period Covered                                                                                                                                                       | null        | null   |    0 |   20 | text    | 1        |    0 | null    | 9e566e56-9a3f-44a4-9d89-76c74154346f | 21       |
|  26 |     3 | Chapter                                                                                                                                                              | null        | null   |    0 |   10 | text    | 1        |    0 | null    | 9e566e56-9a3f-44a4-9d89-76c74154346f | 21       |
|  27 |     1 | ICB Number                                                                                                                                                           | null        | null   |    0 |   30 | text    | 1        |    0 | null    | 53cffd94-3104-4a5a-a582-ba16df50864e | 22       |
|  28 |     2 | Contract/Policy Number                                                                                                                                               | null        | null   |    0 |   20 | text    | 1        |    0 | null    | 53cffd94-3104-4a5a-a582-ba16df50864e | 22       |
|  29 |     3 | Installment Number                                                                                                                                                   | null        | null   |    0 |   10 | text    | 1        |    0 | null    | 53cffd94-3104-4a5a-a582-ba16df50864e | 22       |
|  30 |     1 | Name of Traveller                                                                                                                                                    | null        | null   |    0 |   30 | text    | 1        |    0 | null    | e21b8e30-3cac-42d8-a055-a2d1b5de0eb9 | 23       |
|  31 |     2 | District Entity Code                                                                                                                                                 | null        | null   |    0 |   20 | text    | 1        |    0 | null    | e21b8e30-3cac-42d8-a055-a2d1b5de0eb9 | 23       |
|  32 |     3 | Transaction Code                                                                                                                                                     | null        | null   |    0 |   10 | text    | 1        |    0 | null    | e21b8e30-3cac-42d8-a055-a2d1b5de0eb9 | 23       |
|  33 |     1 | Nextel Account Number                                                                                                                                                | null        | null   |    0 |   30 | text    | 1        |    0 | null    | dfb06421-5f64-4c07-8816-09235b6dec76 | 24       |
|  34 |     2 | Billing Statement Reference Number                                                                                                                                   | null        | null   |    0 |   20 | text    | 1        |    0 | null    | dfb06421-5f64-4c07-8816-09235b6dec76 | 24       |
|  35 |     1 | 13-Digit SFA Account Number                                                                                                                                          | null        | null   |    0 |   30 | text    | 1        |    0 | null    | 61322404-c5d5-43c9-bfc7-d94c8d17f471 | 25       |
|  36 |     1 | 20-Digit Policy Number                                                                                                                                               | null        | null   |    0 |   30 | text    | 1        |    0 | null    | 951df15a-2ffe-43b8-9b92-7183fef0dfbe | 26       |
|  37 |     2 | Account Reference Number                                                                                                                                             | null        | null   |    0 |   20 | text    | 1        |    0 | null    | 951df15a-2ffe-43b8-9b92-7183fef0dfbe | 26       |
|  38 |     3 | Class of Insurance                                                                                                                                                   | null        | null   |    0 |   10 | text    | 1        |    0 | null    | 951df15a-2ffe-43b8-9b92-7183fef0dfbe | 26       |
|  39 |     1 | Policy Number                                                                                                                                                        | null        | null   |    0 |   30 | text    | 1        |    0 | null    | 49ba6ad1-9608-4eb8-8d83-39986c3686b4 | 27       |
|  40 |     2 | Application Month                                                                                                                                                    | null        | null   |    0 |   20 | text    | 1        |    0 | null    | 49ba6ad1-9608-4eb8-8d83-39986c3686b4 | 27       |
|  41 |     3 | Biller Reference3                                                                                                                                                    | null        | null   |    0 |   10 | text    | 1        |    0 | null    | 49ba6ad1-9608-4eb8-8d83-39986c3686b4 | 27       |
|  42 |     1 | 20-Digit Invoice Number                                                                                                                                              | null        | null   |    0 |   30 | text    | 1        |    0 | null    | cbaf0986-6fc4-4940-93fb-36891970ffd0 | 28       |
|  43 |     2 | Bill of Lading                                                                                                                                                       | null        | null   |    0 |   20 | text    | 1        |    0 | null    | cbaf0986-6fc4-4940-93fb-36891970ffd0 | 28       |
|  44 |     1 | Account Number                                                                                                                                                       | null        | null   |    0 |   30 | text    | 1        |    0 | null    | df4dcd36-91d7-4e66-a2a7-b9de6f94efcc | 29       |
|  45 |     2 | Phone/Pager Number                                                                                                                                                   | null        | null   |    0 |   20 | text    | 1        |    0 | null    | df4dcd36-91d7-4e66-a2a7-b9de6f94efcc | 29       |
|  46 |     1 | Policy Number                                                                                                                                                        | null        | null   |    0 |   30 | text    | 1        |    0 | null    | 239777af-29ce-4481-b60f-e6152857e245 | 30       |
|  48 |     1 | Policyholder No.                                                                                                                                                     | null        | null   |   12 |   12 | string  | 1        |    0 | null    | 453f45cc-d99c-4a86-9c22-ad1ce18392d0 | 31       |
|  49 |     2 | Date Due(MM/DD/YYYY)                                                                                                                                                 | null        | null   |   10 |   10 | string  | 1        |    0 | null    | 453f45cc-d99c-4a86-9c22-ad1ce18392d0 | 31       |
|  50 |     1 | Contract Account Number                                                                                                                                              | null        | null   |    0 |    8 | text    | 1        |    0 | null    | e3b2b757-7092-444e-a482-63ed7af04bf4 | 32       |
